PassengerId,Pclass,Sex,Age,Survived
72,2,female,76.77517437196855,0
73,1,male,22.4450697183634,0
74,2,male,20.769774527614604,0
75,1,male,64.54156266145696,0
76,1,male,13.781455438261002,0
77,2,male,19.092250520265083,1
78,3,male,58.0804815097493,1
79,1,male,50.586895075085685,1
80,1,male,63.775726208727,1
81,1,female,58.94803357255542,0
82,1,female,47.781339289108395,1
83,2,female,11.006986941009588,0
84,2,male,28.58892390943946,0
85,1,male,76.88305038378991,1
86,3,female,7.796231284734624,0
87,1,female,70.10193516998939,0
88,1,female,23.02271931563901,0
89,2,male,31.312878813140802,1
90,3,male,6.564914648529358,0
91,1,female,38.044697083109625,1
92,2,female,58.74122345256481,1
93,3,male,15.990414293240905,0
94,1,male,53.505139181470675,0
95,3,female,25.410059200129783,1
96,3,female,19.360947685893375,0
97,1,female,36.69875994323319,1
98,2,female,77.02469808563195,1
99,1,male,66.2476137655776,0
100,2,male,18.891583795072698,1
101,3,male,5.450178854832945,0
102,3,male,77.48587212981512,1
103,1,male,45.98763628652866,0
104,2,female,42.78598733073977,0
105,3,female,73.04192753678004,0
106,1,male,56.110185968003776,0
107,3,female,65.38373345858422,1
108,3,male,40.49031962537075,0
109,1,female,5.075904987199349,0
110,3,female,49.35702823222878,1
111,1,female,71.63215478215659,0
112,2,male,33.300647768348355,1
113,2,male,16.87144954374191,0
114,3,female,40.49355242674037,0
115,1,male,9.33331808895292,0
116,3,female,50.23945572129096,0
117,3,female,49.95416573661771,0
118,2,male,27.361026508785102,1
119,3,male,63.78335272002726,0
120,2,male,69.68976497344886,1
121,1,male,77.43342982771017,0
122,1,male,2.1467709872389857,1
123,1,female,43.73413233658087,1
124,2,female,67.40010265056351,1
125,2,female,1.0434646076743819,1
126,1,male,72.88008971425675,1
127,1,female,56.258465181377574,0
128,2,female,43.07901997270954,0
129,2,male,5.3677194154934575,0
130,1,female,27.52885257968939,0
131,3,male,53.334214604677285,0
132,1,female,35.011994723999784,0
133,1,male,4.290539335525027,1
134,1,female,16.23507689586006,0
135,1,female,78.46523012754832,0
136,1,female,79.58180985748552,0
137,3,female,30.704467644318356,0
138,3,female,29.35605208108337,0
139,1,female,14.026677725690309,1
140,2,male,26.98104515008073,0
141,3,male,29.25310605324858,0
142,1,male,4.072017564790025,1
143,1,male,56.748690014934276,1
144,2,female,50.18272364124828,1
145,1,female,61.432976361547425,0
146,1,female,24.557821022739304,1
147,3,male,76.85453554058813,0
148,1,female,18.031670406366143,1
149,1,male,48.25708248741553,1
150,3,female,56.97020425976829,1
151,3,male,64.80907889949808,0
152,2,male,62.76946193490111,0
153,1,female,71.1924657985723,0
154,1,male,66.24234397439841,1
155,1,female,14.306896800415034,0
156,3,male,10.427025566434565,0
157,2,female,19.25884781510649,0
158,1,male,10.542349819986812,0
159,1,female,54.10571300868267,0
160,3,female,63.565895482204894,0
161,3,male,60.11375294545334,1
162,3,male,22.274562024217026,1
163,1,male,61.39256707827639,0
164,1,male,57.105155539636975,0
165,1,female,55.14067416328722,1
166,1,female,47.16324980066516,0
167,2,female,51.8673651524108,0
168,1,male,76.16131105402066,0
169,1,male,73.8171711051904,1
170,2,female,45.889943227658655,1
171,2,female,66.5807144071898,0
172,1,male,21.393155019521267,1
173,3,female,49.888506877629204,1
174,3,male,37.37688832760301,1
175,2,male,4.646586796602463,0
176,3,male,47.75408841862995,1
177,1,female,60.653873016984534,0
178,3,female,27.30886809484265,0
179,1,female,13.727019202604458,0
180,1,female,15.910781789208636,1
181,1,male,42.82665899712765,1
182,3,female,73.2586460351318,0
183,1,female,52.27577573883206,0
184,3,male,35.53409767870446,0
185,1,female,48.068172175320974,0
186,3,female,36.78904507554679,1
187,1,female,52.59696698234144,0
188,1,female,1.982499431447976,1
189,3,male,8.050837245641933,0
190,3,female,51.536530691241815,1
191,1,female,57.44371451097557,1
192,3,male,41.387959927489234,0
193,1,female,55.90940428192453,0
194,3,male,58.589148270138935,0
195,3,male,29.145310481613038,0
196,1,male,44.110288025064335,0
197,1,male,49.20915199647808,1
198,1,female,58.41912973773728,1
199,3,female,32.86844764303498,0
200,2,female,28.198020459864196,1
